id,description
Flavours Of Happiness,"Cafe, Italian"
Apna Family Restaurant,"North Indian, Chinese, Continental, Biryani, Fast Food"
Crystal Food Mania,"Chinese, North Indian, Fast Food"
Nitin Point & Fast Food,"North Indian, South Indian, Chinese"
Sandesh Sweet and Restaurant,"North Indian, South Indian, Chinese, Mithai"
Italian Pizza,"Pizza, Italian"
Kashi Chat Bhandar,Street Food
Green Leaf,"North Indian, South Indian, Chinese"
Tanish Dining and Cafe,"Biryani, Desserts, North Indian, Chinese"
AFC Restaurant,"Fast Food, North Indian, Chinese, Biryani, Italian, Burger, Sandwich"
The 3rd Floor Bar Stock...,"Chinese, Italian, Thai, Momos"
Food Express,"North Indian, Mughlai, Chinese"
Deena Chat Bhandar,"Street Food, Chinese"
Wow Pizza,Pizza
Manbhavan Fast Food Corner,"Chinese, Fast Food"
City Pleasantry,"Burger, Fast Food, Pizza, Chinese, North Indian, Rolls"
Hangout Burgers,"Burger, Fast Food, Beverages"
Crood Square,"North Indian, Continental, Italian, Chinese, Desserts"
Downtown Pizza,"Beverages, Italian, Pizza"
The Tripling Bistro,"Continental, Mexican, Burger, Fast Food, Italian, Pizza, Chinese, Middle Eastern"
Apna Fast Food Corner,"Fast Food, Chinese"
Cafebility,"Cafe, Continental"
Roma's Café Diner,"Continental, Cafe, North Indian, Italian, Asian, Mediterranean, Mexican"
Ming Garden Bakery,"Cafe, Bakery, Italian"
Cafebility,"North Indian, Chinese, Biryani, Italian, Continental, Mughlai, Mexican"
Central Conversations Cafe,"Cafe, Sandwich, Healthy Food, Pizza, Fast Food"
The Chocolate Heaven,"Cafe, Fast Food, Desserts"
Bake and Juice,"Quick Bites,Fast Food,North Indian"
Panchami Garden,"Quick Bites,South Indian,North Indian,Chinese,Street Food,Desserts,Beverages"
Dhaba Bytes,"Casual Dining,North Indian"
Enerjuvate Studio & Cafe,"Café,Cafe,Healthy Food,Pizza,Beverages"
Sharief Bhai,"Mughlai,Seafood,Rolls,Biryani,Desserts"
Samrith Grand,"Quick Bites,North Indian,Chinese"
Srinidhi Upachar,"Quick Bites,South Indian,Chinese,North Indian,Street Food"
Liquid Bar - Hyatt Centric MG Road,"Lounge,Finger Food,Continental,Chinese"
Al-Bek,"Quick Bites,Mughlai,BBQ,North Indian,Chinese"
Namaste,"Quick Bites,South Indian,Beverages"
The Druid Garden,"Microbrewery,Casual Dining,Asian,Continental,Pizza,North Indian,Mediterranean"
MISU,"Bar,Casual Dining,Asian,Japanese,Thai,Burmese,Korean,Indonesian,Vietnamese,Singaporean"
Toit,"Microbrewery,Italian,American,Modern Indian"
Byg Brewski Brewing Company,"Microbrewery,Continental,North Indian,Italian,South Indian,Finger Food,Pizza"
TBC- Sky Lounge,"Bar,Casual Dining,Continental,Asian,Italian,North Indian"
Koramangala Social,"Bar,North Indian,Chinese,Biryani,American,Continental"
Hoot,"Microbrewery,Casual Dining,Continental,Italian,North Indian"
Red Rhino,"Microbrewery,Casual Dining,North Indian,Continental,Asian,Burger,Desserts"
The Whitefield Arms Pub & Microbrewery,"Microbrewery,Modern Indian,Continental,BBQ"
Phulke Ghar Ke,"Quick Bites,North Indian"
Puliyogare Point,"Quick Bites,South Indian"
Moti Mahal Delux,"Casual Dining,North Indian,Mughlai,Biryani"
Kareem's,"Quick Bites,North Indian,Mughlai"
Grill Biryanis,"Quick Bites,Biryani,North Indian"
Suraksha Biriyani Paradise,"Quick Bites,Biryani,North Indian"
Donne Biriyani Mane,"Quick Bites,Biryani"
Roti Ghar,"Casual Dining,North Indian,Chinese,South Indian,Ice Cream"
Malabar Food Court,"Quick Bites,Kerala,South Indian,Chinese"
Taco Bell,"Quick Bites,Fast Food,Mexican,Wraps"
Madras Cafe,"Quick Bites,South Indian"
NH 91,"Casual Dining,North Indian,Fast Food"
Shanti Niketan Sweets,"Dessert Parlor,Sweet Shop,Desserts"
Burger King,"Quick Bites,Burger,Fast Food,Beverages"
Murga Shurga Family Restaurant,"Quick Bites,Mughlai"
UP Fillers,"Quick Bites,Fast Food,Tibetan"
Mash's Cakes & More,"Bakery,Bakery"
Frozen Junction,"Dessert Parlor,Ice Cream"
Chingari Family Restaurant,"Quick Bites,Chinese,Mughlai,North Indian"
Chocolaid,"Bakery,Bakery,Desserts,Beverages"
Pizza Cave,"Quick Bites,Italian,Fast Food,Pizza"
Juicebox,"Quick Bites,Beverages,Fast Food"
Shri Ram Anurag Restaurant,"Dhaba,Beverages,Chinese,North Indian"
Chacha Biryani,"Quick Bites,Biryani"
Avon Biryani,"Quick Bites,Biryani,North Indian"
Agra Vala Sweets,"Quick Bites,Sweet Shop,Street Food,Mithai"
Jo Hukum,"Casual Dining,Bar,North Indian,Chinese"
Anil Meat Wala,"Quick Bites,Mughlai"
Baba Biryani,"Quick Bites,Food Court,Mughlai,Hyderabadi"
Energy Store,"Quick Bites,North Indian"
The Chocolate Room,"Café,Dessert Parlor,Cafe,Desserts"
Meezzaah,"Casual Dining,Cafe,Chinese,Italian,Pizza"
D-Cafe,"Café,Cafe,Asian,North Indian"
